Year,First Night,Second Night,Time difference (hours),,,,,,,,,,,
,jc649676,jc042065,20.09,,,,,,,,,,,
,jc649676,jc148182,20.54,,,,,,,,,,,
,Oct 22nd,Oct 23rd,-,,,,,,,,,,,
,jc505516,jc057087,20.52,,,,,,,,,,,
,jc055090,jc833859,28.83,,,,,,,,,,,
,jc451486,jc057087,20.66,,,,,,,,,,,
,Nov. 23rd,Nov. 24th,-,,,,,,,,,,,
,jc046054,jc763767,29.56,,,,,,,,,,,
,jc046054,jc790794,29.6,,,,,,,,,,,
,jc039045,jc763767,29.57,,,,,,,,,,,
,jc039045,jc790794,29.61,,,,,,,,,,,
,jc056062,jc763767,29.54,,,,,,,,,,,
,jc056062,jc790794,29.58,,,,,,,,,,,
,jc031037,jc763767,29.58,,,,,,,,,,,
,jc031037,jc790794,29.62,,,,,,,,,,,
